id,Nazwa produktu,Producent,id,actual,Jednostka ceny,Waga,Średnica,Długość,Szerokość,Wysokość,Grubość,Typ pakowania,Jednostki zakupu ,
39,Otuliny TECLIT PS,ROCKWOOL,281,1,M,,,,133,,100,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,282,1,M,,,,140,,25,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,283,1,M,,,,140,,30,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,284,1,M,,,,140,,40,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,285,1,M,,,,140,,50,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,286,1,M,,,,140,,100,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,287,1,M,,,,159,,25,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,288,1,M,,,,159,,30,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,289,1,M,,,,159,,40,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,290,1,M,,,,159,,50,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,291,1,M,,,,159,,100,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,292,1,M,,,,169,,40,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,293,1,M,,,,169,,50,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,294,1,M,,,,169,,100,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,295,1,M,,,,219,,40,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,296,1,M,,,,219,,50,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,297,1,M,,,,219,,100,paleta,1,pełna paleta
40,Mata TECLIT LM,ROCKWOOL,298,1,M2,,,10000,1000,,20,paleta,1,pełna paleta
40,Mata TECLIT LM,ROCKWOOL,299,1,M2,,,10000,1000,,25,paleta,1,pełna paleta
40,Mata TECLIT LM,ROCKWOOL,300,1,M2,,,8000,1000,,30,paleta,1,pełna paleta
40,Mata TECLIT LM,ROCKWOOL,301,1,M2,,,6000,1000,,40,paleta,1,pełna paleta
40,Mata TECLIT LM,ROCKWOOL,302,1,M2,,,5000,1000,,50,paleta,1,pełna paleta
40,Mata TECLIT LM,ROCKWOOL,303,1,M2,,,10000,1000,,20,rolka,,
40,Mata TECLIT LM,ROCKWOOL,304,1,M2,,,10000,1000,,25,rolka,,
40,Mata TECLIT LM,ROCKWOOL,305,1,M2,,,8000,1000,,30,rolka,,
40,Mata TECLIT LM,ROCKWOOL,306,1,M2,,,6000,1000,,40,rolka,,
40,Mata TECLIT LM,ROCKWOOL,307,1,M2,,,5000,1000,,50,rolka,,
